id,element,type,size,d0,d1,d2,d3,desc
1,rupture,a,0.5,12.5,40,0,0,rupture a
2,rupture,a,0.75,19,50,0,0,rupture a
3,rupture,a,1,25,59,0,0,rupture a
4,rupture,a,1.5,36,51,0,0,rupture a
5,rupture,a,2,50,87,0,0,rupture a
6,rupture,a,3,80,122,0,0,rupture a
7,rupture,a,4,100,158,0,0,rupture a
8,rupture,a,6,150,212,0,0,rupture a
9,rupture,a,8,200,265,0,0,rupture a
10,rupture,a,10,250,320,0,0,rupture a
11,rupture,a,12,300,365,0,0,rupture a
12,rupture,a,14,350,420,0,0,rupture a
13,rupture,a,16,400,470,0,0,rupture a
14,rupture,a,18,450,520,0,0,rupture a
15,rupture,a,20,500,570,0,0,rupture a
16,rupture,a,22,550,620,0,0,rupture a
17,rupture,a,24,600,670,0,0,rupture a
18,rupture,a,26,650,720,0,0,rupture a
19,rupture,a,28,700,770,0,0,rupture a
20,rupture,a,30,750,830,0,0,rupture a
21,rupture,a,31,775,855,0,0,rupture a
22,rupture,a,32,800,880,0,0,rupture a
23,rupture,a,33,825,905,0,0,rupture a
24,rupture,a,34,850,950,0,0,rupture a
25,rupture,a,35,875,975,0,0,rupture a
26,rupture,a,36,900,1000,0,0,rupture a
27,rupture,a,37,925,1025,0,0,rupture a
28,rupture,a,38,950,1050,0,0,rupture a
29,rupture,a,39,975,1075,0,0,rupture a
30,rupture,a,40,1000,1100,0,0,rupture a
31,rupture,a,41,1025,1125,0,0,rupture a
32,rupture,a,42,1050,1150,0,0,rupture a
33,rupture,a,43,1075,1175,0,0,rupture a
34,rupture,a,44,1100,1200,0,0,rupture a
35,rupture,a,45,1125,1225,0,0,rupture a
36,rupture,a,46,1150,1250,0,0,rupture a
37,rupture,a,47,1175,1275,0,0,rupture a
38,rupture,a,48,1200,1300,0,0,rupture a
39,holder,forward,1,25,65,23,24,"d0:di,d1:do,d2:psthickness,d3vsthickness"
40,holder,forward,1.5,40,83,22,25,"d0:di,d1:do,d2:psthickness,d3vsthickness"
41,holder,forward,2,50,108,23,36,"d0:di,d1:do,d2:psthickness,d3vsthickness"
42,holder,forward,3,80,135,23,24,"d0:di,d1:do,d2:psthickness,d3vsthickness"
43,holder,forward,4,100,180,22,25,"d0:di,d1:do,d2:psthickness,d3vsthickness"
44,holder,forward,6,150,220,25,27,"d0:di,d1:do,d2:psthickness,d3vsthickness"
45,holder,forward,8,200,277,24,40,"d0:di,d1:do,d2:psthickness,d3vsthickness"
46,holder,forward,10,250,337,29,50,"d0:di,d1:do,d2:psthickness,d3vsthickness"
47,holder,forward,12,300,407,32,57,"d0:di,d1:do,d2:psthickness,d3vsthickness"
48,holder,forward,14,350,448,41,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
49,holder,forward,16,400,512,41,80,"d0:di,d1:do,d2:psthickness,d3vsthickness"
50,holder,reverse,1,25,65,24,23,"d0:di,d1:do,d2:psthickness,d3vsthickness"
51,holder,reverse,1.5,40,92,28,27,"d0:di,d1:do,d2:psthickness,d3vsthickness"
52,holder,reverse,2,50,107,30,29,"d0:di,d1:do,d2:psthickness,d3vsthickness"
53,holder,reverse,3,80,146,41,30,"d0:di,d1:do,d2:psthickness,d3vsthickness"
54,holder,reverse,4,100,177,69,49,"d0:di,d1:do,d2:psthickness,d3vsthickness"
55,holder,reverse,6,150,247,58,53,"d0:di,d1:do,d2:psthickness,d3vsthickness"
56,holder,reverse,8,200,276,57,58,"d0:di,d1:do,d2:psthickness,d3vsthickness"
57,holder,reverse,10,250,358,30,49,"d0:di,d1:do,d2:psthickness,d3vsthickness"
58,holder,reverse,12,300,407,36,59,"d0:di,d1:do,d2:psthickness,d3vsthickness"
59,holder,reverse,14,350,483,41,69,"d0:di,d1:do,d2:psthickness,d3vsthickness"
60,holder,reverse,16,400,550,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
61,holder,a,18,450,623,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
62,holder,a,20,500,694.5,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
63,holder,a,22,550,766,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
64,holder,a,24,600,837.5,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
65,holder,a,26,650,909,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
66,holder,a,28,700,980.5,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
67,holder,a,30,750,1052,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
68,holder,a,32,800,1123.5,45,70,"d0:di,d1:do,d2:psthickness,d3vsthickness"
69,tag,small,0,0,0,0,0.5,desc
70,plate,ss,0,0,0,0,0,desc
71,tef,rol,0,1200,6000,0,0,desc
72,shaft,standard,0,0,0,0,0,desc
73,sheet,a,0.05,1000,2000,0.05,0,"d0:width,d1:height,d2:thickness,size:thickness"
74,sheet,a,0.1,1000,2000,0.1,0,"d0:width,d1:height,d2:thickness,size:thickness"
75,sheet,a,0.15,1000,2000,0.15,0,"d0:width,d1:height,d2:thickness,size:thickness"
76,sheet,a,0.2,1000,2000,0.2,0,"d0:width,d1:height,d2:thickness,size:thickness"
77,sheet,a,0.25,1000,2000,0.25,0,"d0:width,d1:height,d2:thickness,size:thickness"
78,sheet,a,0.3,1000,2000,0.3,0,"d0:width,d1:height,d2:thickness,size:thickness"
79,sheet,a,0.4,1000,2000,0.4,0,"d0:width,d1:height,d2:thickness,size:thickness"
80,sheet,a,0.42,1000,2000,0.42,0,"d0:width,d1:height,d2:thickness,size:thickness"
81,sheet,a,0.45,1000,2000,0.45,0,"d0:width,d1:height,d2:thickness,size:thickness"
82,sheet,a,0.5,1000,2000,0.5,0,"d0:width,d1:height,d2:thickness,size:thickness"
83,sheet,a,0.6,1000,2000,0.6,0,"d0:width,d1:height,d2:thickness,size:thickness"
84,sheet,a,0.65,1000,2000,0.65,0,"d0:width,d1:height,d2:thickness,size:thickness"
85,sheet,a,0.8,1000,2000,0.8,0,"d0:width,d1:height,d2:thickness,size:thickness"
86,sheet,a,1,1000,2000,1,0,"d0:width,d1:height,d2:thickness,size:thickness"
87,sheet,a,1.2,1000,2000,1.2,0,"d0:width,d1:height,d2:thickness,size:thickness"
88,sheet,a,1.5,1000,2000,1.5,0,"d0:width,d1:height,d2:thickness,size:thickness"
89,sheet,a,1.6,1000,2000,1.6,0,"d0:width,d1:height,d2:thickness,size:thickness"
90,sheet,a,1.6,1000,2000,1.6,0,"d0:width,d1:height,d2:thickness,size:thickness"
91,sheet,a,2,1000,2000,2,0,"d0:width,d1:height,d2:thickness,size:thickness"
92,sheet,a,2.5,1000,2000,2.5,0,"d0:width,d1:height,d2:thickness,size:thickness"
93,sheet,a,3,1000,2000,3,0,"d0:width,d1:height,d2:thickness,size:thickness"
94,sheet,a,4,1000,2000,4,0,"d0:width,d1:height,d2:thickness,size:thickness"
95,sheet,a,5,1000,2000,5,0,"d0:width,d1:height,d2:thickness,size:thickness"
96,sheet,a,6,1000,2000,6,0,"d0:width,d1:height,d2:thickness,size:thickness"
97,sheet,a,8,1000,2000,8,0,"d0:width,d1:height,d2:thickness,size:thickness"
98,sheet,a,10,1000,2000,10,0,"d0:width,d1:height,d2:thickness,size:thickness"
99,sheet,a,12,1000,2000,12,0,"d0:width,d1:height,d2:thickness,size:thickness"
100,sheet,a,15,1000,2000,15,0,"d0:width,d1:height,d2:thickness,size:thickness"
101,sheet,a,18,1000,2000,18,0,"d0:width,d1:height,d2:thickness,size:thickness"
102,sheet,a,20,1000,2000,20,0,"d0:width,d1:height,d2:thickness,size:thickness"
103,sheet,a,25,1000,2000,25,0,"d0:width,d1:height,d2:thickness,size:thickness"
104,roll,a,0.65,1200,5000,0.65,0,"d0:width,d1:height,d2:thickness,size:thickness"
