element,type,item,itemf,unitf,pr,p0,p1
rupture,rff,Sheet,ورق ,برگ,3000000,3000000,3000000
rupture,rff,Sheet,ورق ,برگ,4000000,l,w
rupture,rff,roll,رول,متر,1000000,l,t
rupture,rff,material analysis,آنالیز متریال,عدد,18000000,15000000,qty
rupture,rff,WireCut,وایرکات,عدد,38000000,2400000,qty_size
rupture,rff,Waterjet/Laser,واترجت - لیزر,عدد,35000000,2800000,qty_size
rupture,rf,heat Form,شکل دهی حرارتی,عدد,15000000,2000000,qty_size
rupture,rf,heat Treatment,عملیات حرارتی,عدد,29000000,4200000,qty_size
rupture,rf,hydro Forming,فورمینگ,عدد,36000000,3500000,qty_size
rupture,1,Laser Marking,مارک,عدد,10000000,1000000,qty
rupture,1,Test,تست,عدد,11000000,2000000,qty_size
rupture,1,Styrofoam,محافظ,عدد,5000000,200000,qty_size
rupture,1,Cardboard Box,کارتن,عدد,5000000,250000,qty_size
rupture,1,boxing,بسته بندی,عدد,5000000,150000,qty_size
rupture,1,shipping,ارسال,عدد,15000000,500000,qty_size
rupture,1,sensor,سنسور,عدد,20000000,18000000,qty_size
holder,11,Vent Side holder,گرده,عدد,,od,t
holder,11,Process Side holder,گرده,عدد,,od,t
holder,11,Machinery,ماشینکاری تراش,عدد,,.,
holder,11,Wirecut/Waterjet,وایرکات- واترجت,عدد,,.,
holder,11,Milling cnc,فرز cnc,عدد,,.,
holder,11,Wooden Box ,جعبه چوبی,عدد,,.,
holder,11,Styrofoam,محافظ,عدد,,.,
vaccumbreaker,,tube,لوله 14 اینچ استیل 304,عدد,,Mat. s304 - D in = 336.5 mm - D out = 355.6 mm - L = 150 mm,
vaccumbreaker,,tube,لوله ¾ اینچ استیل 304,عدد,,Mat. s304 - D in = 20.9 - D out = 26.7 - L = 250 mm,
vaccumbreaker,,shaft,شفت استیل 304 به قطر 20 میل,عدد,,Mat. s304 or s316 - D = 20 mm  - L = 350 mm,
vaccumbreaker,,plate,ورق استیل 12 میل,عدد,,Mat. s304  - 1500*3000*12 mm³ - ضایعات انبار رو باز ,
vaccumbreaker,,sheet,ورق استیل 6 میل,عدد,,Mat. s304  -700*500*6 mm³ ,
vaccumbreaker,,plate,ورق استیل 2 میل,عدد,,Mat. s304  -440*440*2 mm³ ,
vaccumbreaker,,gasket,گسکت لاستیکی ,عدد,,Mat. Rubber - width = 1 m - THK = 3 mm,
vaccumbreaker,,mesh,توری استیل,عدد,,Mat. SS - 430*430 mm²,
vaccumbreaker,,screw,پیچ آلن 4 استیل,عدد,,"Hex Bolt, M4x30",
vaccumbreaker,,nut,مهره 4 استیل,عدد,,"Hex Nut, M4",
vaccumbreaker,,screw,پیچ آچاری 12 استیل,عدد,,"Hex Bolt, M12x30",
vaccumbreaker,,washer,واشر 12 استیل,عدد,,"Flat Washer, M12",
