type,size,layers,bp,bt
flat,16,cs:3_cs:0.5_pvc:0.8,6,40
flat,24,cs:3_cs:0.5_pvc:0.8,6,40
flat,24,cs:3_cs:0.5_pvc:0.8,6,40
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40
flat,24,s316L:2_s316L:0.5_tef:0.5,6,40
flat,3,s316L:0.2_s316L:0.2_tef:0.1,2,22
flat,3,s316L:0.2_s316L:0.3_tef:0.1,2,22
flat,3,s316L:0.2_s316L:0.4_tef:0.1,2,22
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120
flat,30,s316L:0.6_s316L:0.3_ptfe:0.6,0.3,120
flat,6,s316L:0.6_s316L:0.5_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.25_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.3_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20
flat,6,s316L:0.6_s316L:0.2_tef:0.6,5.5,20
flat,4,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,0.9,60
flat,4,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,0.9,60
flat,4,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,0.9,60
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40
flat,24,s316L:2.5_s316L:0.8_ptfe:0.5,6,40
flat,12,s316L:0.3_s316L:0.3_fep:0.2,0.175,57
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57
flat,12,s316L:0.3_s316L:0.3_fep:0.1,0.175,57
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106
flat,16,s316L:0.4_s316L:0.4_ptfe:0.3,0.49,106
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,16,s316:0.3_aluminium:0.3_ptfe:1,1.08,22
flat,8,cs:1_cs:0.8_pvc:0.5,6,40
flat,8,cs:1_cs:0.8_pvc:0.5,6,40
flat,8,cs:1_cs:0.8_pvc:0.5,6,40
flat,8,cs:1_cs:0.8_pvc:0.5,6,40
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40
flat,16,cs:1.5_cs:0.8_pvc:0.5,6,40
flat,24,cs:3_cs:0.8_pvc:0.5,6,40
flat,24,cs:3_cs:0.8_pvc:0.5,6,40
flat,24,cs:3_cs:0.8_pvc:0.5,6,40
flat,24,cs:3_cs:0.8_pvc:0.5,6,40
flat,6,s316:0.5_s316:0.5_tef:0.3,2.5,22
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.3,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.2,0.48,188
flat,4,s316:1_s316:0.5_ptfe:0.5,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.3_s316:0.5_ptfe:0.25,0.48,188
flat,4,s316:0.2_s316:0.5_ptfe:0.2,0.48,188
flat,4,s316:0.1_s316:0.5_ptfe:0.1,0.48,188
flat,4,s316:0.1_s316:0.1_ptfe:0.2,0.48,188
flat,24,s316:2_s316:0.5_fep:0.5,5,40
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70
flat,14,s316:0.8_s316:0.4_ptfe:0.3,1.1,70
flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35
flat,24,s316:1.5_s316:0.2_ptfe:0.5,3.25,35
flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35
flat,24,s316:1.5_s316:0.5_ptfe:0.5,3.25,35
flat,24,s316:2.5_s316:0.6_ptfe:0.5,6,40
flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55
flat,4,s316L:0.3_s316L:0.3_ptfe:0.25,2,55
flat,24,s316L:2_s316L:0.6_ptfe:0.5,4,50
flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50
flat,24,s316L:2_s316L:0.6_ptfe:0.5,5,50
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100
flat,16,s316:1_s316:1_ptfe:0.5,2,160
flat,16,s316:1_s316:1_ptfe:0.5,2,160
flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40
flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40
flat,24,s316:3_s316:1_ptfe:0.5,6,40
flat,24,s316:3_s316:1_ptfe:0.5,6,40
flat,24,s316:3_s316:1_ptfe:0.5,6,40
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22
flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48
flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48
flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70
flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22
flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35
flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,16,s316:1_s316:0.5_tef:0.5_tef:0.5_s316:0.5,3,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3.3,35
flat,8,s316:0.5_s316:0.5_tef:0.5,3.21,35
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35
flat,8,s316:0.5_s316:0.5_tef:0.5,3.3,35
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35
flat,8,s316:0.5_s316:0.5_tef:0.5,3.2,35
flat,16,s316:0.5_s316:1_tef:0.5,3.5,35
flat,16,s316:0.5_s316:1_tef:0.5,3,35
flat,16,s316:0.5_s316:1_tef:0.5,3.5,35
flat,16,s316:0.5_s316:1_tef:0.5,3,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3,35
flat,24,s316:0.5_s316:1.5_tef:0.5,3.5,35
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,1,s316:0.1_s316:0.1_s316:0.5_tef:0.1,3.5,25
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,8,s316L:0.1_s316L:0.1_s316:0.5_tef:0.1,0.2,125
flat,24,s316:2_s316:0.5_tef:0.5,3,22
flat,24,s316:2_s316:0.5_tef:0.5,3,22
flat,24,s316:2_s316:0.5_tef:0.5,3,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,4,22
flat,24,s316:2_s316:0.5_tef:1.5,5,22
flat,24,s316:2_s316:0.5_tef:1.5,5,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,24,s316:3_s316:0.5_tef:0.5,6,22
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
