element,type,size,d0,d1,d2,d3,desc,
rupture,a,0.5,12.5,40,0,0,"d0:di,d1:do",
rupture,a,0.75,19,50,0,0,"d0:di,d1:do",
rupture,a,1,25,59,0,0,"d0:di,d1:do",
rupture,a,1.5,36,51,0,0,"d0:di,d1:do",
rupture,a,2,50,87,0,0,"d0:di,d1:do",
rupture,a,3,80,122,0,0,"d0:di,d1:do",
rupture,a,4,100,158,0,0,"d0:di,d1:do",
rupture,a,6,150,212,0,0,"d0:di,d1:do",
rupture,a,8,200,265,0,0,"d0:di,d1:do",
rupture,a,10,250,320,0,0,"d0:di,d1:do",
rupture,a,12,300,365,0,0,"d0:di,d1:do",
rupture,a,14,350,420,0,0,"d0:di,d1:do",
rupture,a,16,400,470,0,0,"d0:di,d1:do",
rupture,a,18,450,520,0,0,"d0:di,d1:do",
rupture,a,20,500,570,0,0,"d0:di,d1:do",
rupture,a,22,550,620,0,0,"d0:di,d1:do",
rupture,a,24,600,670,0,0,"d0:di,d1:do",
rupture,a,26,650,720,0,0,"d0:di,d1:do",
rupture,a,28,700,770,0,0,"d0:di,d1:do",
rupture,a,30,750,830,0,0,"d0:di,d1:do",
rupture,a,31,775,855,0,0,"d0:di,d1:do",
rupture,a,32,800,880,0,0,"d0:di,d1:do",
rupture,a,33,825,905,0,0,"d0:di,d1:do",
rupture,a,34,850,950,0,0,"d0:di,d1:do",
rupture,a,35,875,975,0,0,"d0:di,d1:do",
rupture,a,36,900,1000,0,0,"d0:di,d1:do",
rupture,a,37,925,1025,0,0,"d0:di,d1:do",
rupture,a,38,950,1050,0,0,"d0:di,d1:do",
rupture,a,39,975,1075,0,0,"d0:di,d1:do",
rupture,a,40,1000,1100,0,0,"d0:di,d1:do",
rupture,a,41,1025,1125,0,0,"d0:di,d1:do",
rupture,a,42,1050,1150,0,0,"d0:di,d1:do",
rupture,a,43,1075,1175,0,0,"d0:di,d1:do",
rupture,a,44,1100,1200,0,0,"d0:di,d1:do",
rupture,a,45,1125,1225,0,0,"d0:di,d1:do",
rupture,a,46,1150,1250,0,0,"d0:di,d1:do",
rupture,a,47,1175,1275,0,0,"d0:di,d1:do",
rupture,a,48,1200,1300,0,0,"d0:di,d1:do",
holder,forward,1,25,65,23,24,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,1.5,40,83,22,25,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,2,50,108,23,36,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,3,80,135,23,24,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,4,100,180,22,25,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,6,150,220,25,27,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,8,200,277,24,40,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,10,250,337,29,50,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,12,300,407,32,57,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,14,350,448,41,70,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,forward,16,400,512,41,80,"d0:di,d1:do,d2:psthickness,d3vsthickness",
holder,reverse,1,25,65,24,23,"d0:di,d1:do,d2:psthickness,d3vsthickness",
