id,tipical,nmsize,m1,t1,m2,t2,m3,t3,m4,t4,m5,t5,brpr,brtm,rbrpr,fmht,drw,layers,mnlyr,vclyr,sllyr,xtlyr,ultlyr,description
1,flat,16,cs,3,cs,0.5,pvc,0.8,,,,,6,40,6.02,,,cs:3_cs:0.5_pvc:0.8,cs:3,cs:0.5,pvc:0.8,,,
2,flat,24,cs,3,cs,0.5,pvc,0.8,,,,,6,40,6.02,,,cs:3_cs:0.5_pvc:0.8,cs:3,cs:0.5,pvc:0.8,,,
3,flat,24,cs,3,cs,0.5,pvc,0.8,,,,,6,40,6.02,,,cs:3_cs:0.5_pvc:0.8,cs:3,cs:0.5,pvc:0.8,,,
4,flat,24,s316L,2,s316L,0.5,ptfe,0.5,,,,,6,40,6.1,,,s316L:2_s316L:0.5_ptfe:0.5,s316L:2,s316L:0.5,ptfe:0.5,,,
5,flat,24,s316L,2,s316L,0.5,ptfe,0.5,,,,,6,40,5.98,,,s316L:2_s316L:0.5_ptfe:0.5,s316L:2,s316L:0.5,ptfe:0.5,,,
6,flat,24,s316L,2,s316L,0.5,ptfe,0.5,,,,,6,40,6,,,s316L:2_s316L:0.5_ptfe:0.5,s316L:2,s316L:0.5,ptfe:0.5,,,
7,flat,3,s316L,0.2,s316L,0.2,ptfe,0.1,,,,,2,22,1.73,,,s316L:0.2_s316L:0.2_ptfe:0.1,s316L:0.2,s316L:0.2,ptfe:0.1,,,
8,flat,3,s316L,0.2,s316L,0.3,ptfe,0.1,,,,,2,22,1.83,,,s316L:0.2_s316L:0.3_ptfe:0.1,s316L:0.2,s316L:0.3,ptfe:0.1,,,
9,flat,3,s316L,0.2,s316L,0.4,ptfe,0.1,,,,,2,22,1.95,,,s316L:0.2_s316L:0.4_ptfe:0.1,s316L:0.2,s316L:0.4,ptfe:0.1,,,
10,flat,30,s316L,0.6,s316L,0.3,ptfe,0.6,,,,,0.3,120,0.321,,,s316L:0.6_s316L:0.3_ptfe:0.6,s316L:0.6,s316L:0.3,ptfe:0.6,,,
11,flat,30,s316L,0.6,s316L,0.3,ptfe,0.6,,,,,0.3,120,0.265,,,s316L:0.6_s316L:0.3_ptfe:0.6,s316L:0.6,s316L:0.3,ptfe:0.6,,,
12,flat,6,s316L,0.6,s316L,0.5,ptfe,0.6,,,,,5.5,20,4,,,s316L:0.6_s316L:0.5_ptfe:0.6,s316L:0.6,s316L:0.5,ptfe:0.6,,,
13,flat,6,s316L,0.6,s316L,0.25,ptfe,0.6,,,,,5.5,20,3.79,,,s316L:0.6_s316L:0.25_ptfe:0.6,s316L:0.6,s316L:0.25,ptfe:0.6,,,
14,flat,6,s316L,0.6,s316L,0.3,ptfe,0.6,,,,,5.5,20,5.85,,,s316L:0.6_s316L:0.3_ptfe:0.6,s316L:0.6,s316L:0.3,ptfe:0.6,,,
15,flat,6,s316L,0.6,s316L,0.2,ptfe,0.6,,,,,5.5,20,5.81,,,s316L:0.6_s316L:0.2_ptfe:0.6,s316L:0.6,s316L:0.2,ptfe:0.6,,,
16,flat,6,s316L,0.6,s316L,0.2,ptfe,0.6,,,,,5.5,20,5.6,,,s316L:0.6_s316L:0.2_ptfe:0.6,s316L:0.6,s316L:0.2,ptfe:0.6,,,
17,flat,6,s316L,0.6,s316L,0.2,ptfe,0.6,,,,,5.5,20,5.92,,,s316L:0.6_s316L:0.2_ptfe:0.6,s316L:0.6,s316L:0.2,ptfe:0.6,,,
18,flat,6,s316L,0.6,s316L,0.2,ptfe,0.6,,,,,5.5,20,5.94,,,s316L:0.6_s316L:0.2_ptfe:0.6,s316L:0.6,s316L:0.2,ptfe:0.6,,,
19,flat,4,s316L,0.1,s316L,0.2,ptfe,0.3,s316L,0.1,,,0.9,60,0.57,,,s316L:0.1_s316L:0.2_s316L:0.1_ptfe:0.3,s316L:0.1,s316L:0.2,s316L:0.1,ptfe:0.3,,
20,flat,4,s316L,0.1,s316L,0.25,ptfe,0.3,s316L,0.1,,,0.9,60,1.03,,,s316L:0.1_s316L:0.25_s316L:0.1_ptfe:0.3,s316L:0.1,s316L:0.25,s316L:0.1,ptfe:0.3,,
21,flat,4,s316L,1,s316L,0.1,ptfe,0.3,s316L,0.1,,,0.9,60,0.76,,,s316L:1_s316L:0.1_s316L:0.1_ptfe:0.3,s316L:1,s316L:0.1,s316L:0.1,ptfe:0.3,,
22,flat,24,s316L,2.5,s316L,0.8,ptfe,0.5,,,,,6,40,5.54,,,s316L:2.5_s316L:0.8_ptfe:0.5,s316L:2.5,s316L:0.8,ptfe:0.5,,,
23,flat,24,s316L,2.5,s316L,0.8,ptfe,0.5,,,,,6,40,5.3,,,s316L:2.5_s316L:0.8_ptfe:0.5,s316L:2.5,s316L:0.8,ptfe:0.5,,,
24,flat,24,s316L,2.5,s316L,0.8,ptfe,0.5,,,,,6,40,6.24,,,s316L:2.5_s316L:0.8_ptfe:0.5,s316L:2.5,s316L:0.8,ptfe:0.5,,,
25,flat,24,s316L,2.5,s316L,0.8,ptfe,0.5,,,,,6,40,6.26,,,s316L:2.5_s316L:0.8_ptfe:0.5,s316L:2.5,s316L:0.8,ptfe:0.5,,,
26,flat,12,s316L,0.3,s316L,0.3,ptfe,0.2,,,,,0.175,57,0.163,,,s316L:0.3_s316L:0.3_ptfe:0.2,s316L:0.3,s316L:0.3,ptfe:0.2,,,
27,flat,12,s316L,0.3,s316L,0.3,ptfe,0.1,,,,,0.175,57,0.216,,,s316L:0.3_s316L:0.3_ptfe:0.1,s316L:0.3,s316L:0.3,ptfe:0.1,,,
28,flat,12,s316L,0.3,s316L,0.3,ptfe,0.1,,,,,0.175,57,0.14,,,s316L:0.3_s316L:0.3_ptfe:0.1,s316L:0.3,s316L:0.3,ptfe:0.1,,,
29,flat,12,s316L,0.3,s316L,0.3,ptfe,0.1,,,,,0.175,57,0.184,,,s316L:0.3_s316L:0.3_ptfe:0.1,s316L:0.3,s316L:0.3,ptfe:0.1,,,
30,flat,16,s316L,0.4,s316L,0.4,ptfe,0.3,,,,,0.49,106,0.56,,,s316L:0.4_s316L:0.4_ptfe:0.3,s316L:0.4,s316L:0.4,ptfe:0.3,,,
31,flat,16,s316L,0.4,s316L,0.4,ptfe,0.3,,,,,0.49,106,0.531,,,s316L:0.4_s316L:0.4_ptfe:0.3,s316L:0.4,s316L:0.4,ptfe:0.3,,,
32,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,0.49,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
33,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,1.26,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
34,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,1.043,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
35,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,0.81,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
36,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,0.925,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
37,flat,16,s316,0.3,aluminium,0.3,ptfe,1,,,,,1.08,22,0.984,,,s316:0.3_aluminium:0.3_ptfe:1,s316:0.3,aluminium:0.3,ptfe:1,,,
38,flat,8,cs,1,cs,0.8,pvc,0.5,,,,,6,40,4.59,,,cs:1_cs:0.8_pvc:0.5,cs:1,cs:0.8,pvc:0.5,,,
39,flat,8,cs,1,cs,0.8,pvc,0.5,,,,,6,40,6.58,,,cs:1_cs:0.8_pvc:0.5,cs:1,cs:0.8,pvc:0.5,,,
40,flat,8,cs,1,cs,0.8,pvc,0.5,,,,,6,40,6.41,,,cs:1_cs:0.8_pvc:0.5,cs:1,cs:0.8,pvc:0.5,,,
41,flat,8,cs,1,cs,0.8,pvc,0.5,,,,,6,40,5.73,,,cs:1_cs:0.8_pvc:0.5,cs:1,cs:0.8,pvc:0.5,,,
42,flat,16,cs,1.5,cs,0.8,pvc,0.5,,,,,6,40,4,,,cs:1.5_cs:0.8_pvc:0.5,cs:1.5,cs:0.8,pvc:0.5,,,
43,flat,16,cs,1.5,cs,0.8,pvc,0.5,,,,,6,40,6.19,,,cs:1.5_cs:0.8_pvc:0.5,cs:1.5,cs:0.8,pvc:0.5,,,
44,flat,16,cs,1.5,cs,0.8,pvc,0.5,,,,,6,40,5.93,,,cs:1.5_cs:0.8_pvc:0.5,cs:1.5,cs:0.8,pvc:0.5,,,
